# ----------------------------------------
# Todos os dados do website
# Páginas
# 20170101-20170327
# ----------------------------------------

Página,Visualizações de página,Visualizações de páginas únicas,Tempo médio na página,Entradas,Taxa de rejeição,Porcentagem de saída,Valor da página
/cultura-pop/10-series-pouco-conhecidas-no-netflix-que-voce-precisa-conhecer/,1.215,1.095,00:06:44,1.086,"77,85%","89,63%","US$0,00"
/,518,246,00:01:27,192,"38,86%","26,45%","US$0,00"
/estilo-de-vida/o-desafio-do-whole30/,231,104,00:01:55,73,"73,97%","34,63%","US$0,00"
/quem-somos/de-bacon-tudo/,216,90,00:01:32,61,"44,26%","23,15%","US$0,00"
/viagem/ouro-preto-o-guia-definitivo/,140,125,00:11:41,113,"71,68%","84,29%","US$0,00"
/quem-somos/quem-somos/,121,56,00:00:38,6,"83,33%","18,18%","US$0,00"
/cultura-pop/10-motivos-para-assistir-santa-clarita-diet/,89,37,00:03:03,21,"71,43%","29,21%","US$0,00"
/comida/como-fazer-receitas-de-forma-pratica-ser-saudavel-e-não-desistir-da-vida/,77,59,00:04:34,52,"65,38%","66,23%","US$0,00"
/viagem/O-Melhor-Roteiro-para-Los-Angeles/,51,44,00:03:54,32,"78,12%","76,47%","US$0,00"
/categories/comida/,46,22,00:00:57,4,"0,00%","8,70%","US$0,00"
,3.108,2.119,00:02:17,1.717,"70,52%","55,24%","US$0,00"

Índice do dia,Visualizações de página
01/01/2017,0
02/01/2017,0
03/01/2017,0
04/01/2017,0
05/01/2017,0
06/01/2017,0
07/01/2017,0
08/01/2017,0
09/01/2017,0
10/01/2017,0
11/01/2017,0
12/01/2017,0
13/01/2017,0
14/01/2017,0
15/01/2017,0
16/01/2017,0
17/01/2017,0
18/01/2017,0
19/01/2017,0
20/01/2017,0
21/01/2017,0
22/01/2017,0
23/01/2017,0
24/01/2017,0
25/01/2017,0
26/01/2017,0
27/01/2017,0
28/01/2017,0
29/01/2017,0
30/01/2017,0
31/01/2017,0
01/02/2017,0
02/02/2017,96
03/02/2017,46
04/02/2017,4
05/02/2017,0
06/02/2017,71
07/02/2017,189
08/02/2017,186
09/02/2017,254
10/02/2017,160
11/02/2017,17
12/02/2017,51
13/02/2017,33
14/02/2017,27
15/02/2017,24
16/02/2017,7
17/02/2017,10
18/02/2017,3
19/02/2017,0
20/02/2017,87
21/02/2017,17
22/02/2017,8
23/02/2017,2
24/02/2017,7
25/02/2017,1
26/02/2017,0
27/02/2017,14
28/02/2017,7
01/03/2017,66
02/03/2017,22
03/03/2017,23
04/03/2017,28
05/03/2017,15
06/03/2017,11
07/03/2017,4
08/03/2017,17
09/03/2017,108
10/03/2017,152
11/03/2017,254
12/03/2017,384
13/03/2017,298
14/03/2017,9
15/03/2017,40
16/03/2017,20
17/03/2017,9
18/03/2017,40
19/03/2017,90
20/03/2017,34
21/03/2017,18
22/03/2017,85
23/03/2017,21
24/03/2017,13
25/03/2017,8
26/03/2017,9
27/03/2017,9
,3.108
